price,rating,reviews,review_growth_rate,Cotton,Polyester,Round Neck,Polo Neck,Short Sleeve,Long Sleeve
480.0,4.1,27,0.008896797153024912,0,0,0,0,1,0
227.0,3.8,460,0.011507479861910242,0,0,1,0,1,0
995.0,4.6,10,0.02252252252252252,1,0,1,0,0,0
768.0,5.0,1,0.0,1,0,1,0,1,0
999.0,4.2,8,0.02702702702702703,1,0,1,0,0,0
480.0,4.8,6,0.011009174311926606,1,0,1,0,1,0
351.0,4.6,9,0.12,1,0,1,0,1,0
412.0,4.2,32,0.020080321285140562,1,0,0,0,1,0
239.0,3.8,72,0.012610340479192938,1,0,1,0,1,0
349.0,4.3,14,0.025252525252525252,1,0,1,0,0,0
1039.0,3.4,17,0.01048951048951049,1,0,1,0,0,0
345.0,4.1,13,0.03058103975535168,1,0,1,0,1,0
379.0,4.6,56,0.05102040816326531,1,0,1,0,1,0
618.0,4.1,16,0.041666666666666664,1,0,1,0,1,0
897.0,3.9,23,0.012903225806451613,1,0,1,0,1,0
799.0,4.7,39,0.02066115702479339,0,1,1,0,1,0
495.0,5.0,1,0.0,1,0,1,0,0,1
1499.0,4.8,226,0.015337423312883436,1,0,1,0,0,0
298.0,4.5,15,0.026385224274406333,0,1,1,0,1,0
349.0,4.1,24,0.042735042735042736,1,0,1,0,0,1
527.0,4.0,2,0.0,1,0,1,0,1,0
699.0,4.4,229,0.04310344827586207,1,0,1,0,0,0
399.0,4.7,3,0.023622047244094488,0,1,1,0,1,0
540.0,4.5,2,0.6666666666666666,1,0,1,0,1,0
399.0,4.2,13,0.09009009009009009,0,0,1,0,1,0
328.0,4.5,19,0.06711409395973154,0,1,1,0,0,1
1499.0,3.7,66,0.008,1,0,1,0,0,0
599.0,4.3,14,0.06060606060606061,1,0,1,0,1,0
349.0,4.4,59,0.016474464579901153,1,0,1,0,0,0
974.0,3.0,2,0.6666666666666666,1,0,1,0,0,0
643.0,5.0,2,0.2222222222222222,1,0,0,0,1,0
489.0,4.8,16,0.072992700729927,1,0,1,0,1,0
799.0,4.8,9,0.039473684210526314,1,0,1,0,1,0
399.0,4.8,4,0.018018018018018018,1,0,1,0,0,0
449.0,4.0,1,0.0,1,0,0,0,1,0
545.0,4.5,4,0.056338028169014086,1,0,1,0,1,0
395.0,3.0,2,0.0053475935828877,1,0,1,0,0,1
989.0,3.0,1,0.0,0,1,0,0,1,0
314.0,4.4,34,0.03164556962025317,1,0,1,0,0,1
999.0,4.2,4,0.008247422680412371,1,0,0,0,0,0
386.0,4.0,87,0.005955926146515783,1,0,0,0,1,0
447.0,4.4,52,0.007541478129713424,0,0,0,0,1,0
371.0,4.4,23,0.02557544757033248,0,1,0,0,1,0
700.0,4.4,11,0.027700831024930747,0,1,1,0,1,0
351.0,4.5,15,0.11764705882352941,1,0,1,0,1,0
367.0,4.5,2,0.02247191011235955,1,0,1,0,1,0
2249.0,3.7,3,0.029411764705882353,1,0,1,0,0,0
399.0,4.0,3,0.0,1,0,1,0,0,1
543.0,4.5,2,0.0425531914893617,1,0,1,0,0,1
719.0,4.8,7,0.012244897959183673,1,0,0,0,0,0
543.0,4.9,12,0.06134969325153374,0,0,0,0,1,0
239.0,4.3,78,0.08849557522123894,1,0,1,0,1,0
335.0,3.8,739,0.0066711140760507,0,0,1,0,1,0
303.0,4.1,21,0.01615508885298869,1,0,1,0,1,0
519.0,3.7,3,0.1,1,0,1,0,1,0
599.0,5.0,1,0.0,1,0,1,0,0,1
319.0,4.2,5,1.0,1,0,1,0,1,0
359.0,4.5,2,0.0070921985815602835,1,0,1,0,1,0
251.0,3.8,91,0.00831255195344971,1,0,1,0,1,0
239.0,4.3,20,0.14516129032258066,1,0,1,0,1,0
293.0,5.0,1,0.0,1,0,1,0,0,0
359.0,4.2,2002,0.007142857142857143,0,0,1,0,1,0
389.0,5.0,2,0.0,0,1,1,0,1,0
480.0,4.8,7,0.03571428571428571,0,1,0,0,1,0
262.0,3.8,6,0.010186757215619695,0,1,1,0,1,0
419.0,4.1,37,0.034722222222222224,1,0,1,0,0,1
519.0,4.4,21,0.07246376811594203,1,0,1,0,1,0
454.0,5.0,1,0.0,1,0,0,0,1,0
335.0,4.0,7458,0.006770480704129994,1,0,1,0,1,0
857.0,3.0,1,0.0,1,0,1,0,1,0
265.0,4.1,56,0.008431703204047217,1,0,1,0,1,0
549.0,3.5,2,0.05263157894736842,1,0,1,0,1,0
373.0,4.2,56,0.019157088122605363,1,0,1,0,0,1
599.0,4.2,11,0.08849557522123894,1,0,1,0,1,0
959.0,4.0,331,0.0068073519400953025,0,0,0,0,0,1
395.0,4.3,29,0.022675736961451247,1,0,1,0,1,0
367.0,3.6,8,0.011547344110854504,1,0,1,0,1,0
439.0,4.3,26,0.046296296296296294,1,0,1,0,1,0
191.0,4.1,698,0.02188183807439825,0,1,1,0,1,0
319.0,3.8,16,0.05806451612903226,1,0,1,0,1,0
424.0,3.6,11,0.02207505518763797,0,1,1,0,0,1
419.0,4.6,5,0.029069767441860465,1,0,1,0,1,0
499.0,5.0,2,0.03076923076923077,1,0,1,0,1,0
799.0,4.5,60,0.02145922746781116,0,0,1,0,1,0
362.0,4.1,48,0.03257328990228013,1,0,1,0,1,0
499.0,4.0,1,0.0,1,0,1,0,1,0
337.0,4.2,9,0.027777777777777776,0,1,1,0,0,1
377.0,3.7,191,0.01763668430335097,0,0,0,0,0,1
404.0,3.8,5888,0.06369426751592357,0,0,1,0,1,0
255.0,5.0,3,0.06976744186046512,1,0,1,0,1,0
439.0,4.4,12,0.14814814814814814,1,0,1,0,1,0
429.0,4.7,19,0.009124087591240875,0,0,1,0,1,0
599.0,4.2,26,0.014367816091954023,1,0,1,0,1,0
271.0,4.5,2,0.05405405405405406,1,0,1,0,1,0
489.0,4.3,42,0.007077140835102618,1,0,0,0,0,1
398.0,3.5,396,0.016891891891891893,0,0,1,0,1,0
440.0,3.8,134,0.022573363431151242,0,0,1,0,1,0
239.0,4.3,57,0.37037037037037035,1,0,1,0,1,0
359.0,3.8,24,0.008103727714748784,0,0,1,0,1,0
332.0,4.1,265,0.006548788474132285,0,1,1,0,1,0
350.0,4.4,15,0.046296296296296294,0,1,1,0,0,1
974.0,3.0,2,0.6666666666666666,1,0,1,0,0,0
278.0,4.3,14,0.1320754716981132,1,0,1,0,1,0
